riskAllele	pValue	pValueAnnotation	riskFrequency	orValue	beta	ci	mappedGenes	traitName	efoTraits	bgTraits	accessionId	locations	pubmedId	author
rs79536569-?	4E-6	-	NR	1.23	-	[1.13-1.35]	SERPINB6	"Crohn's disease"	"Crohn's disease"	-	GCST010577	6:2957593	32581322	"Kakuta Y"
rs3129890-?	3E-8	-	NR	0.88	-	[0.84-0.92]	HLA-DRA,HLA-DRB9	"Inflammatory bowel disease x smoking status (never vs ever smoking) interaction"	"smoking status measurement,inflammatory bowel disease"	-	GCST90137951	6:32446496	28506689	"Yadav P"
rs9262492-?	7E-7	-	NR	1.15	-	[1.09-1.21]	MUC22	"Inflammatory bowel disease x smoking status (never vs current smoking) interaction"	"smoking status measurement,inflammatory bowel disease"	-	GCST90137954	6:31018238	28506689	"Yadav P"
rs9268923-?	8E-6	-	NR	1.16	-	[1.08-1.23]	HLA-DRB9	"Inflammatory bowel disease x smoking status (never vs current smoking) interaction"	"smoking status measurement,inflammatory bowel disease"	-	GCST90137954	6:32465058	28506689	"Yadav P"
rs7747521-?	2E-7	-	NR	0.85	-	[0.8-0.91]	HLA-DRB9	"Inflammatory bowel disease x smoking status (never vs former smoking) interaction"	"smoking status measurement,inflammatory bowel disease"	-	GCST90137957	6:32463328	28506689	"Yadav P"
rs116883185-?	5E-6	-	NR	1.65	-	[1.33-2.05]	WDFY4	"Inflammatory bowel disease x smoking status (never vs former smoking) interaction"	"smoking status measurement,inflammatory bowel disease"	-	GCST90137957	10:48795554	28506689	"Yadav P"
rs117782746-?	1E-6	-	NR	1.68	-	[1.36-2.06]	MIR4686,ASCL2	"Inflammatory bowel disease x smoking status (never vs former smoking) interaction"	"smoking status measurement,inflammatory bowel disease"	-	GCST90137957	11:2260976	28506689	"Yadav P"
rs9623807-?	1E-6	-	NR	1.24	-	[1.14-1.36]	SCUBE1	"Inflammatory bowel disease x smoking status (never vs former smoking) interaction"	"smoking status measurement,inflammatory bowel disease"	-	GCST90137957	22:43308046	28506689	"Yadav P"
rs76845271-T	3E-6	-	0.043	0.3	-	[0.2-0.5]	ALMS1	"Colorectal cancer vs inflammatory bowel disease"	"colorectal cancer,inflammatory bowel disease"	-	GCST90179123	2:73438689	36077729	"Garcia-Etxebarria K"
rs6738805-C	5E-7	-	0.135	0.4	-	[0.3-0.6]	SP110,SP140	"Colorectal cancer vs inflammatory bowel disease"	"colorectal cancer,inflammatory bowel disease"	-	GCST90179123	2:230218456	36077729	"Garcia-Etxebarria K"
rs10007784-C	2E-6	-	0.228	0.5	-	[0.4-0.7]	BMP3	"Colorectal cancer vs inflammatory bowel disease"	"colorectal cancer,inflammatory bowel disease"	-	GCST90179123	4:81056536	36077729	"Garcia-Etxebarria K"
rs181206673-C	4E-6	-	0.039	0.3	-	[0.1-0.5]	RNU6-374P,MSNP1	"Colorectal cancer vs inflammatory bowel disease"	"colorectal cancer,inflammatory bowel disease"	-	GCST90179123	5:25834860	36077729	"Garcia-Etxebarria K"
rs72840740-C	1E-6	-	0.014	0.1	-	[0.0-0.2]	MIR548A1HG,RPL21P61	"Colorectal cancer vs inflammatory bowel disease"	"colorectal cancer,inflammatory bowel disease"	-	GCST90179123	6:18745227	36077729	"Garcia-Etxebarria K"
rs9271365-G	2E-6	-	0.353	1.8	-	[1.4-2.3]	HLA-DQA1,HLA-DRB1	"Colorectal cancer vs inflammatory bowel disease"	"colorectal cancer,inflammatory bowel disease"	-	GCST90179123	6:32619017	36077729	"Garcia-Etxebarria K"
rs35493687-A	4E-6	-	0.122	0.4	-	[0.3-0.6]	KCNQ4	"Colorectal cancer vs inflammatory bowel disease"	"colorectal cancer,inflammatory bowel disease"	-	GCST90179123	1:40819620	36077729	"Garcia-Etxebarria K"
rs951197-C	6E-7	-	0.476	0.5	-	[0.4-0.7]	GRIK2,R3HDM2P2	"Colorectal cancer vs inflammatory bowel disease"	"colorectal cancer,inflammatory bowel disease"	-	GCST90179123	6:102762890	36077729	"Garcia-Etxebarria K"
rs1875664-G	3E-6	-	0.128	2.3	-	[1.6-3.3]	DLGAP2	"Colorectal cancer vs inflammatory bowel disease"	"colorectal cancer,inflammatory bowel disease"	-	GCST90179123	8:877824	36077729	"Garcia-Etxebarria K"
rs988874-A	2E-6	-	0.174	0.5	-	[0.3-0.6]	PTCHD3,TRIAP1P1	"Colorectal cancer vs inflammatory bowel disease"	"colorectal cancer,inflammatory bowel disease"	-	GCST90179123	10:27395731	36077729	"Garcia-Etxebarria K"
rs541295-G	2E-8	-	0.055	0.2	-	[0.1-0.4]	ATP8B4,DTWD1	"Colorectal cancer vs inflammatory bowel disease"	"colorectal cancer,inflammatory bowel disease"	-	GCST90179123	15:49763853	36077729	"Garcia-Etxebarria K"
rs196001-?	4E-8	-	NR	-	-	-	PRKCB	"Inflammatory bowel disease or bipolar disorder (pleiotropy)"	"schizophrenia,inflammatory bowel disease"	-	GCST90271323	16:23951183	36753304	"Gong W"
rs6427868-?	5E-10	-	NR	-	-	-	MROH3P	"Inflammatory bowel disease or anorexia nervosa (pleiotropy)"	"schizophrenia,inflammatory bowel disease"	-	GCST90271324	1:200960354	36753304	"Gong W"
rs11717978-?	1E-13	-	NR	-	-	-	ARIH2	"Inflammatory bowel disease or anorexia nervosa (pleiotropy)"	"schizophrenia,inflammatory bowel disease"	-	GCST90271324	3:48931603	36753304	"Gong W"
rs7531118-?	3E-10	-	NR	-	-	-	RPL31P12,RNU6-1246P	"Inflammatory bowel disease or major depressive disorder (pleiotropy)"	"unipolar depression,inflammatory bowel disease"	-	GCST90271321	1:72371556	36753304	"Gong W"
rs12118513-?	3E-9	-	NR	-	-	-	DENND1B	"Inflammatory bowel disease or major depressive disorder (pleiotropy)"	"unipolar depression,inflammatory bowel disease"	-	GCST90271321	1:197547956	36753304	"Gong W"
rs169850-?	5E-8	-	NR	-	-	-	MROH3P	"Inflammatory bowel disease or major depressive disorder (pleiotropy)"	"unipolar depression,inflammatory bowel disease"	-	GCST90271321	1:200960016	36753304	"Gong W"
rs60689680-?	3E-8	-	NR	-	-	-	IL12B,LINC01845	"Inflammatory bowel disease or major depressive disorder (pleiotropy)"	"unipolar depression,inflammatory bowel disease"	-	GCST90271321	5:159407359	36753304	"Gong W"
rs905634-?	2E-12	-	NR	-	-	-	INAVA,MROH3P	"Inflammatory bowel disease or schizophrenia (pleiotropy)"	"schizophrenia,inflammatory bowel disease"	-	GCST90271322	1:200915857	36753304	"Gong W"
rs6855246-?	7E-10	-	NR	-	-	-	BANK1,SLC39A8	"Inflammatory bowel disease or schizophrenia (pleiotropy)"	"schizophrenia,inflammatory bowel disease"	-	GCST90271322	4:102191313	36753304	"Gong W"
rs2304204-?	3E-8	-	NR	-	-	-	IRF3,BCL2L12	"Inflammatory bowel disease or schizophrenia (pleiotropy)"	"schizophrenia,inflammatory bowel disease"	-	GCST90271322	19:49665763	36753304	"Gong W"
rs12132349-?	2E-9	-	NR	-	-	-	INAVA	"Inflammatory bowel disease or bipolar disorder (pleiotropy)"	"schizophrenia,inflammatory bowel disease"	-	GCST90271323	1:200906114	36753304	"Gong W"
rs13029144-?	5E-8	-	NR	-	-	-	ITGA4	"Inflammatory bowel disease or bipolar disorder (pleiotropy)"	"schizophrenia,inflammatory bowel disease"	-	GCST90271323	2:181469957	36753304	"Gong W"
rs56073120-?	2E-8	-	NR	-	-	-	TOX	"Inflammatory bowel disease or bipolar disorder (pleiotropy)"	"schizophrenia,inflammatory bowel disease"	-	GCST90271323	8:58954618	36753304	"Gong W"
rs7090073-?	8E-12	-	NR	-	-	-	LINC02929	"Inflammatory bowel disease or bipolar disorder (pleiotropy)"	"schizophrenia,inflammatory bowel disease"	-	GCST90271323	10:62663745	36753304	"Gong W"
rs10756219-?	2E-8	-	NR	-	-	-	JKAMPP1,AKAP8P1	"Inflammatory bowel disease or major depressive disorder (pleiotropy)"	"unipolar depression,inflammatory bowel disease"	-	GCST90271321	9:11276005	36753304	"Gong W"
rs10822050-?	9E-9	-	NR	-	-	-	ALDH7A1P4,LINC02929	"Inflammatory bowel disease or major depressive disorder (pleiotropy)"	"unipolar depression,inflammatory bowel disease"	-	GCST90271321	10:62679011	36753304	"Gong W"
rs6658353-?	1E-9	-	NR	-	-	-	RNU6-481P,FCGR2A	"Inflammatory bowel disease or schizophrenia (pleiotropy)"	"schizophrenia,inflammatory bowel disease"	-	GCST90271322	1:161499264	36753304	"Gong W"
rs7719676-?	1E-8	-	NR	-	-	-	ZSWIM6	"Inflammatory bowel disease or schizophrenia (pleiotropy)"	"schizophrenia,inflammatory bowel disease"	-	GCST90271322	5:61441122	36753304	"Gong W"
rs492430-?	6E-9	-	NR	-	-	-	EPO,POP7	"Inflammatory bowel disease or schizophrenia (pleiotropy)"	"schizophrenia,inflammatory bowel disease"	-	GCST90271322	7:100715476	36753304	"Gong W"
rs6690186-?	3E-9	-	NR	-	-	-	SGIP1	"Inflammatory bowel disease or major depressive disorder (pleiotropy)"	"unipolar depression,inflammatory bowel disease"	-	GCST90271321	1:66537796	36753304	"Gong W"
rs10737481-?	3E-19	-	NR	-	"0.077 unit increase"	NR	RNF186-AS1,OTUD3	"Ulcerative colitis vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,ulcerative colitis"	-	GCST90016625	1:19845021	33686288	"Peyrot WJ"
rs11209026-?	3E-13	-	NR	-	"0.062 unit decrease"	NR	IL23R	"Ulcerative colitis vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,ulcerative colitis"	-	GCST90016625	1:67240275	33686288	"Peyrot WJ"
rs6679677-?	5E-34	-	NR	-	"0.1 unit decrease"	NR	RSBN1,PHTF1	"Ulcerative colitis vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,ulcerative colitis"	-	GCST90016625	1:113761186	33686288	"Peyrot WJ"
rs55838263-?	4E-15	-	NR	-	"0.067 unit decrease"	NR	INAVA	"Ulcerative colitis vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,ulcerative colitis"	-	GCST90016625	1:200905600	33686288	"Peyrot WJ"
rs3024493-?	1E-10	-	NR	-	"0.055 unit increase"	NR	IL10	"Ulcerative colitis vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,ulcerative colitis"	-	GCST90016625	1:206770623	33686288	"Peyrot WJ"
rs11889341-?	2E-7	-	NR	-	"0.045 unit decrease"	NR	STAT4	"Ulcerative colitis vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,ulcerative colitis"	-	GCST90016625	2:191079016	33686288	"Peyrot WJ"
rs113341849-?	6E-8	-	NR	-	"0.046 unit increase"	NR	UQCRC2P1,CCR2	"Ulcerative colitis vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,ulcerative colitis"	-	GCST90016625	3:46342713	33686288	"Peyrot WJ"
rs11130213-?	5E-7	-	NR	-	"0.043 unit increase"	NR	APEH	"Ulcerative colitis vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,ulcerative colitis"	-	GCST90016625	3:49674864	33686288	"Peyrot WJ"
rs10758669-?	6E-8	-	NR	-	"0.046 unit decrease"	NR	HNRNPA1P41,JAK2	"Ulcerative colitis vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,ulcerative colitis"	-	GCST90016625	9:4981602	33686288	"Peyrot WJ"
rs3812565-?	2E-9	-	NR	-	"0.052 unit increase"	NR	SNAPC4	"Ulcerative colitis vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,ulcerative colitis"	-	GCST90016625	9:136378050	33686288	"Peyrot WJ"
rs6584283-?	3E-10	-	NR	-	"0.054 unit decrease"	NR	LINC01475	"Ulcerative colitis vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,ulcerative colitis"	-	GCST90016625	10:99530544	33686288	"Peyrot WJ"
rs2212434-?	2E-6	-	NR	-	"0.041 unit increase"	NR	LINC02757,EMSY	"Ulcerative colitis vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,ulcerative colitis"	-	GCST90016625	11:76570549	33686288	"Peyrot WJ"
rs12817473-?	7E-8	-	NR	-	"0.046 unit increase"	NR	IFNG-AS1	"Ulcerative colitis vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,ulcerative colitis"	-	GCST90016625	12:68103628	33686288	"Peyrot WJ"
rs12720356-?	4E-9	-	NR	-	"0.05 unit increase"	NR	TYK2	"Ulcerative colitis vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,ulcerative colitis"	-	GCST90016625	19:10359299	33686288	"Peyrot WJ"
rs13048533-?	1E-10	-	NR	-	"0.055 unit decrease"	NR	LINC02940,RPL23AP12	"Ulcerative colitis vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,ulcerative colitis"	-	GCST90016625	21:39087168	33686288	"Peyrot WJ"
rs3129890-?	7E-6	-	NR	0.85	-	[0.8-0.91]	HLA-DRA,HLA-DRB9	"Ulcerative colitis x smoking status (never vs ever smoking) interaction"	"smoking status measurement,ulcerative colitis"	-	GCST90137950	6:32446496	28506689	"Yadav P"
rs35883921-?	9E-6	-	NR	2.74	-	[1.76-4.27]	XRCC5	"Ulcerative colitis x smoking status (never vs current smoking) interaction"	"smoking status measurement,ulcerative colitis"	-	GCST90137953	2:216140758	28506689	"Yadav P"
rs14458-?	7E-6	-	NR	2.1	-	[1.52-2.91]	SYNPO	"Ulcerative colitis x smoking status (never vs current smoking) interaction"	"smoking status measurement,ulcerative colitis"	-	GCST90137953	5:150659110	28506689	"Yadav P"
rs117614539-?	2E-6	-	NR	1.98	-	[1.5-2.62]	ADAM1B,MAPKAPK5	"Ulcerative colitis x smoking status (never vs current smoking) interaction"	"smoking status measurement,ulcerative colitis"	-	GCST90137953	12:111920180	28506689	"Yadav P"
rs8026358-?	7E-6	-	NR	2.69	-	[1.75-4.14]	SMAD3	"Ulcerative colitis x smoking status (never vs current smoking) interaction"	"smoking status measurement,ulcerative colitis"	-	GCST90137953	15:67152055	28506689	"Yadav P"
rs10518987-?	2E-6	-	NR	2.13	-	[1.56-2.91]	PARP6,CELF6	"Ulcerative colitis x smoking status (never vs current smoking) interaction"	"smoking status measurement,ulcerative colitis"	-	GCST90137953	15:72273446	28506689	"Yadav P"
rs11652256-?	7E-6	-	NR	1.89	-	[1.43-2.5]	CCL8,CCL11	"Ulcerative colitis x smoking status (never vs current smoking) interaction"	"smoking status measurement,ulcerative colitis"	-	GCST90137953	17:34305359	28506689	"Yadav P"
rs62228171-?	5E-6	-	NR	1.93	-	[1.45-2.55]	GATD3	"Ulcerative colitis x smoking status (never vs current smoking) interaction"	"smoking status measurement,ulcerative colitis"	-	GCST90137953	21:44177774	28506689	"Yadav P"
rs116883185-?	9E-6	-	NR	1.88	-	[1.42-2.48]	WDFY4	"Ulcerative colitis x smoking status (never vs former smoking) interaction"	"smoking status measurement,ulcerative colitis"	-	GCST90137956	10:48795554	28506689	"Yadav P"
rs10188217-C	1E-11	(combined)	NR	-	-	-	PUS10	"Crohn's disease and celiac disease"	"celiac disease,Crohn's disease"	-	GCST000955	2:60990407	21298027	"Festen EA"
rs212388-C	2E-10	(combined)	NR	-	-	-	TAGAP-AS1	"Crohn's disease and celiac disease"	"celiac disease,Crohn's disease"	-	GCST000955	6:159069404	21298027	"Festen EA"
rs1398024-A	4E-6	-	0.25	1.23	-	[1.04-1.45]	OTUD1,C10orf67-AS1	"Crohn's disease and sarcoidosis (combined)"	"sarcoidosis,Crohn's disease"	-	GCST000212	10:23376509	18723019	"Franke A"
rs1250544-G	7E-14	"(same-effect analysis)"	NR	1.16	-	[NR]	ZMIZ1	"Crohn's disease and psoriasis"	"psoriasis,Crohn's disease"	-	GCST001473	10:79273128	22482804	"Ellinghaus D"
rs4780355-T	1E-13	"(same-effect analysis)"	NR	1.16	-	[NR]	RMI2	"Crohn's disease and psoriasis"	"psoriasis,Crohn's disease"	-	GCST001473	16:11254001	22482804	"Ellinghaus D"
rs7667-?	8E-6	"(opposite-effect analysis)"	NR	1.11	-	[NR]	CAPZB	"Crohn's disease and psoriasis"	"psoriasis,Crohn's disease"	-	GCST001473	1:19392330	22482804	"Ellinghaus D"
rs1386478-A	7E-6	"(opposite-effect analysis)"	NR	1.12	-	[NR]	ZDHHC23	"Crohn's disease and psoriasis"	"psoriasis,Crohn's disease"	-	GCST001473	3:113962104	22482804	"Ellinghaus D"
chr2:151914525-T	9E-6	-	0.0589587	-	-	-	-	"Crohn's disease (time to progression)"	"disease progression measurement,Crohn's disease"	-	GCST007497	-	30801121	"O'Donnell S"
rs10144920-A	7E-6	-	0.0245171	-	-	-	SYNDIG1L	"Crohn's disease (time to progression)"	"disease progression measurement,Crohn's disease"	-	GCST007497	14:74415130	30801121	"O'Donnell S"
rs10977466-G	9E-6	-	0.224215	-	-	-	PTPRD	"Crohn's disease (time to progression)"	"disease progression measurement,Crohn's disease"	-	GCST007497	9:9065941	30801121	"O'Donnell S"
rs11950172-C	3E-6	-	0.396837	-	-	-	ST8SIA4,RN7SL802P	"Crohn's disease (time to progression)"	"disease progression measurement,Crohn's disease"	-	GCST007497	5:101171505	30801121	"O'Donnell S"
rs12442493-C	5E-6	-	0.304455	-	-	-	RN7SKP181,LINC02253	"Crohn's disease (time to progression)"	"disease progression measurement,Crohn's disease"	-	GCST007497	15:96933041	30801121	"O'Donnell S"
rs2965118-G	9E-6	-	0.109351	-	-	-	CBLC	"Crohn's disease (time to progression)"	"disease progression measurement,Crohn's disease"	-	GCST007497	19:44789032	30801121	"O'Donnell S"
rs4700080-G	9E-6	-	0.0340237	-	-	-	ADAMTS6	"Crohn's disease (time to progression)"	"disease progression measurement,Crohn's disease"	-	GCST007497	5:65343061	30801121	"O'Donnell S"
rs62167560-C	6E-6	-	0.0207101	-	-	-	FABP5P10,RBM43	"Crohn's disease (time to progression)"	"disease progression measurement,Crohn's disease"	-	GCST007497	2:151206431	30801121	"O'Donnell S"
rs7614127-A	7E-6	-	0.501515	-	-	-	LINC02042,CD200R1L-AS1	"Crohn's disease (time to progression)"	"disease progression measurement,Crohn's disease"	-	GCST007497	3:112789332	30801121	"O'Donnell S"
rs78885963-T	6E-6	-	0.0540958	-	-	-	DPH6-DT	"Crohn's disease (time to progression)"	"disease progression measurement,Crohn's disease"	-	GCST007497	15:35639966	30801121	"O'Donnell S"
rs940145-C	4E-6	-	0.237037	-	-	-	CSMD1	"Crohn's disease (time to progression)"	"disease progression measurement,Crohn's disease"	-	GCST007497	8:3951280	30801121	"O'Donnell S"
rs9921472-A	6E-6	-	0.103316	-	-	-	PLA2G10IP,RPL7P47	"Crohn's disease (time to progression)"	"disease progression measurement,Crohn's disease"	-	GCST007497	16:18006634	30801121	"O'Donnell S"
rs10763930-A	2E-6	-	0.0188679	-	-	-	NRP1,LINC02628	"Crohn's disease (time to first abdominal surgery)"	"disease progression measurement,Crohn's disease"	-	GCST007498	10:33378350	30801121	"O'Donnell S"
rs116417499-A	4E-7	-	0.0154867	-	-	-	ALDH5A1	"Crohn's disease (time to first abdominal surgery)"	"disease progression measurement,Crohn's disease"	-	GCST007498	6:24523528	30801121	"O'Donnell S"
rs3936663-T	4E-6	-	0.300895	-	-	-	RN7SKP36,SORCS2	"Crohn's disease (time to first abdominal surgery)"	"disease progression measurement,Crohn's disease"	-	GCST007498	4:7183972	30801121	"O'Donnell S"
rs62072729-T	4E-6	-	0.11853	-	-	-	NLRP1	"Crohn's disease (time to first abdominal surgery)"	"disease progression measurement,Crohn's disease"	-	GCST007498	17:5522104	30801121	"O'Donnell S"
rs6778300-C	5E-6	-	0.0119647	-	-	-	RARB	"Crohn's disease (time to first abdominal surgery)"	"disease progression measurement,Crohn's disease"	-	GCST007498	3:25251475	30801121	"O'Donnell S"
rs76804613-T	4E-6	-	0.173569	-	-	-	LINC02814	"Crohn's disease (time to first abdominal surgery)"	"disease progression measurement,Crohn's disease"	-	GCST007498	1:229142587	30801121	"O'Donnell S"
rs9521997-G	2E-6	-	0.145542	-	-	-	ANKRD10,PARP1P1	"Crohn's disease (time to first abdominal surgery)"	"disease progression measurement,Crohn's disease"	-	GCST007498	13:110931075	30801121	"O'Donnell S"
chr2:26187269-C	7E-6	-	0.0876106	-	-	-	-	"Crohn's disease (indolent vs progressive)"	"disease progression measurement,Crohn's disease"	-	GCST007499	-	30801121	"O'Donnell S"
chr20:41202388-TC	3E-6	-	0.488444	-	-	-	-	"Crohn's disease (indolent vs progressive)"	"disease progression measurement,Crohn's disease"	-	GCST007499	-	30801121	"O'Donnell S"
rs11223177-T	7E-6	-	0.2	-	-	-	OPCML	"Crohn's disease (indolent vs progressive)"	"disease progression measurement,Crohn's disease"	-	GCST007499	11:132706651	30801121	"O'Donnell S"
rs1499555-A	1E-6	-	0.436396	-	-	-	LINC01239,DMRTA1	"Crohn's disease (indolent vs progressive)"	"disease progression measurement,Crohn's disease"	-	GCST007499	9:22589172	30801121	"O'Donnell S"
rs1544254-G	5E-6	-	0.425242	-	-	-	LINC01893,LINC01898	"Crohn's disease (indolent vs progressive)"	"disease progression measurement,Crohn's disease"	-	GCST007499	18:75743798	30801121	"O'Donnell S"
rs1603949-T	2E-6	-	0.115551	-	-	-	LINC00448,SQSTM1P1	"Crohn's disease (indolent vs progressive)"	"disease progression measurement,Crohn's disease"	-	GCST007499	13:62645344	30801121	"O'Donnell S"
rs16845844-G	7E-6	-	0.0876652	-	-	-	PSMD14	"Crohn's disease (indolent vs progressive)"	"disease progression measurement,Crohn's disease"	-	GCST007499	2:161408759	30801121	"O'Donnell S"
rs1873103-G	5E-6	-	0.54458	-	-	-	MIR1973,TRMT112P1	"Crohn's disease (indolent vs progressive)"	"disease progression measurement,Crohn's disease"	-	GCST007499	4:116341004	30801121	"O'Donnell S"
rs1972081-C	8E-6	-	0.34669	-	-	-	LUZP2	"Crohn's disease (indolent vs progressive)"	"disease progression measurement,Crohn's disease"	-	GCST007499	11:24637287	30801121	"O'Donnell S"
rs4723416-G	4E-6	-	0.419929	-	-	-	SDK1	"Crohn's disease (indolent vs progressive)"	"disease progression measurement,Crohn's disease"	-	GCST007499	7:4134757	30801121	"O'Donnell S"
rs56259952-C	9E-6	-	0.115247	-	-	-	LINC02713,CNTN5	"Crohn's disease (indolent vs progressive)"	"disease progression measurement,Crohn's disease"	-	GCST007499	11:98730321	30801121	"O'Donnell S"
rs5742831-A	5E-6	-	0.411713	-	-	-	DAD1	"Crohn's disease (indolent vs progressive)"	"disease progression measurement,Crohn's disease"	-	GCST007499	14:22570239	30801121	"O'Donnell S"
rs7566270-T	7E-6	-	0.0846491	-	-	-	PSMD14-DT	"Crohn's disease (indolent vs progressive)"	"disease progression measurement,Crohn's disease"	-	GCST007499	2:161291619	30801121	"O'Donnell S"
rs75986423-C	6E-6	-	0.108761	-	-	-	LINC02360,HS3ST1	"Crohn's disease (indolent vs progressive)"	"disease progression measurement,Crohn's disease"	-	GCST007499	4:11728827	30801121	"O'Donnell S"
rs7780850-C	7E-6	-	0.279322	-	-	-	CDHR3,SYPL1	"Crohn's disease (indolent vs progressive)"	"disease progression measurement,Crohn's disease"	-	GCST007499	7:106059997	30801121	"O'Donnell S"
rs1432296-?	8E-10	-	NR	-	"0.051 unit decrease"	NR	REL-DT	"Crohn's disease vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,Crohn's disease"	-	GCST90016610	2:60841032	33686288	"Peyrot WJ"
rs12612769-?	2E-7	-	NR	-	"0.044 unit increase"	NR	STAT4	"Crohn's disease vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,Crohn's disease"	-	GCST90016610	2:191089272	33686288	"Peyrot WJ"
rs3792109-?	2E-16	-	NR	-	"0.068 unit increase"	NR	ATG16L1,SCARNA5	"Crohn's disease vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,Crohn's disease"	-	GCST90016610	2:233275771	33686288	"Peyrot WJ"
rs9836291-?	6E-6	-	NR	-	"0.038 unit increase"	NR	BSN	"Crohn's disease vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,Crohn's disease"	-	GCST90016610	3:49660026	33686288	"Peyrot WJ"
rs10073277-?	4E-15	-	NR	-	"0.065 unit increase"	NR	RNU1-150P,TTC33	"Crohn's disease vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,Crohn's disease"	-	GCST90016610	5:40488584	33686288	"Peyrot WJ"
rs6894249-?	1E-14	-	NR	-	"0.064 unit increase"	NR	IRF1,IRF1-AS1	"Crohn's disease vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,Crohn's disease"	-	GCST90016610	5:132461855	33686288	"Peyrot WJ"
rs147018773-?	2E-9	-	NR	-	"0.05 unit increase"	NR	IRGM	"Crohn's disease vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,Crohn's disease"	-	GCST90016610	5:150858959	33686288	"Peyrot WJ"
rs10045431-?	1E-8	-	NR	-	"0.048 unit increase"	NR	IL12B,LINC01845	"Crohn's disease vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,Crohn's disease"	-	GCST90016610	5:159387525	33686288	"Peyrot WJ"
rs212389-?	6E-11	-	NR	-	"0.054 unit decrease"	NR	TAGAP-AS1	"Crohn's disease vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,Crohn's disease"	-	GCST90016610	6:159068759	33686288	"Peyrot WJ"
rs4266763-?	1E-13	-	NR	-	"0.062 unit increase"	NR	SNAPC4	"Crohn's disease vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,Crohn's disease"	-	GCST90016610	9:136395373	33686288	"Peyrot WJ"
rs10761659-?	2E-20	-	NR	-	"0.077 unit increase"	NR	LINC02929,ALDH7A1P4	"Crohn's disease vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,Crohn's disease"	-	GCST90016610	10:62685804	33686288	"Peyrot WJ"
rs1250573-?	1E-6	-	NR	-	"0.04 unit decrease"	NR	ZMIZ1	"Crohn's disease vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,Crohn's disease"	-	GCST90016610	10:79282718	33686288	"Peyrot WJ"
rs7100689-?	7E-8	-	NR	-	"0.045 unit increase"	NR	TSPAN14	"Crohn's disease vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,Crohn's disease"	-	GCST90016610	10:80462422	33686288	"Peyrot WJ"
rs1332099-?	5E-10	-	NR	-	"0.052 unit decrease"	NR	NKX2-3,SLC25A28	"Crohn's disease vs rheumatoid arthritis (ordinary least squares (OLS))"	"rheumatoid arthritis,Crohn's disease"	-	GCST90016610	10:99538694	33686288	"Peyrot WJ"
